id_video,c1_nature,c2_nature,c3_nature,c4_nature,c5_nature,c6_nature,c7_nature,c8_nature
TC24201,Iconic,Iconic,Symbolic,Symbolic,Metaphoric,Metaphoric,Symbolic,Pantomimic
TC24202,Deictic,Deictic,Symbolic,Pantomimic,Pantomimic,Deictic,Symbolic,Symbolic
TC24203,Symbolic,Symbolic,Iconic,Metaphoric,Iconic,Pantomimic,Symbolic,Metaphoric
TC24204,Iconic,Iconic,Pantomimic,Symbolic,Symbolic,Iconic,Symbolic,Metaphoric
TC24205,Iconic,Iconic,Symbolic,Deictic,Pantomimic,Symbolic,Symbolic,Symbolic
TC24206,Deictic,Deictic,Symbolic,Symbolic,Pantomimic,Iconic,Symbolic,Symbolic
TC24207,Pantomimic,Pantomimic,Pantomimic,Iconic,Pantomimic,Pantomimic,Symbolic,Pantomimic
TC24208,Iconic,Iconic,Symbolic,Pantomimic,Metaphoric,Metaphoric,Symbolic,Symbolic
TC24209,Iconic,Iconic,Metaphoric,Pantomimic,Pantomimic,Pantomimic,Deictic,Metaphoric
TC24210,Iconic,Iconic,Iconic,Iconic,Pantomimic,Symbolic,Deictic,Iconic
TC24211,Iconic,Symbolic,Symbolic,Symbolic,Metaphoric,Symbolic,Deictic,Symbolic
TC24212,Symbolic,Pantomimic,Deictic,Deictic,Deictic,Deictic,Deictic,Symbolic
TC24213,Iconic,Iconic,Symbolic,Symbolic,Symbolic,Symbolic,Deictic,Metaphoric
TC24214,Iconic,Iconic,Symbolic,Iconic,Pantomimic,Iconic,Symbolic,Pantomimic
TC24215,Pantomimic,Pantomimic,Pantomimic,Pantomimic,Pantomimic,Deictic,Symbolic,Iconic
TC24216,Pantomimic,Iconic,Symbolic,Symbolic,Pantomimic,Metaphoric,Symbolic,Iconic
TC24217,Pantomimic,Pantomimic,Symbolic,Symbolic,Pantomimic,Pantomimic,Deictic,Pantomimic
TC24218,Pantomimic,Pantomimic,Deictic,Deictic,Deictic,Deictic,Symbolic,Deictic
TC24219,Pantomimic,Pantomimic,Metaphoric,Symbolic,Metaphoric,Symbolic,Symbolic,Iconic
TC24220,Iconic,Iconic,Metaphoric,Pantomimic,Pantomimic,Pantomimic,Symbolic,Pantomimic
TC24221,Iconic,Iconic,Pantomimic,Pantomimic,Pantomimic,Pantomimic,Symbolic,Symbolic
TC24222,Deictic,Deictic,Pantomimic,Pantomimic,Iconic,Iconic,Deictic,Deictic
TC24223,Iconic,Pantomimic,Pantomimic,Symbolic,Pantomimic,Pantomimic,Symbolic,Pantomimic
TC24224,Iconic,Iconic,Iconic,Iconic,Iconic,Pantomimic,Iconic,Pantomimic
TC24225,Iconic,Iconic,Pantomimic,Iconic,Pantomimic,Pantomimic,Deictic,Pantomimic
TC24226,Pantomimic,Pantomimic,Pantomimic,Pantomimic,Iconic,Iconic,Pantomimic,Symbolic
TC24227,Symbolic,Pantomimic,Symbolic,Pantomimic,Pantomimic,Pantomimic,Symbolic,Pantomimic
TC24228,Iconic,Iconic,Symbolic,Iconic,Pantomimic,Pantomimic,Deictic,Pantomimic
TC24229,Iconic,Iconic,Symbolic,Iconic,Iconic,Iconic,Symbolic,Metaphoric
TC24230,Iconic,Iconic,Iconic,Iconic,Pantomimic,Pantomimic,Deictic,Pantomimic
TC24231,Iconic,Iconic,Symbolic,Symbolic,Iconic,Iconic,Symbolic,Symbolic
TC24232,Iconic,Iconic,Iconic,Pantomimic,Metaphoric,Symbolic,Symbolic,Pantomimic
TC24233,Metaphoric,Metaphoric,Iconic,Iconic,Pantomimic,Iconic,Symbolic,Iconic
TC24234,Iconic,Iconic,Iconic,Iconic,Symbolic,Symbolic,Iconic,Iconic
TC24235,Pantomimic,Symbolic,Pantomimic,Pantomimic,Symbolic,Symbolic,Symbolic,Symbolic
TC24236,Iconic,Iconic,Symbolic,Iconic,Pantomimic,Pantomimic,Symbolic,Pantomimic
TC24237,Iconic,Iconic,Metaphoric,Symbolic,Pantomimic,Iconic,Deictic,Symbolic
TC24238,Pantomimic,Pantomimic,Symbolic,Symbolic,Pantomimic,Pantomimic,Deictic,Pantomimic
TC24239,Deictic,Pantomimic,Symbolic,Symbolic,Metaphoric,Symbolic,Deictic,Symbolic
TC24240,Iconic,Pantomimic,Symbolic,Pantomimic,Metaphoric,Metaphoric,Iconic,Iconic
TC24241,Iconic,Iconic,Pantomimic,Iconic,Pantomimic,Iconic,Deictic,Symbolic
TC24242,Iconic,Iconic,Metaphoric,Symbolic,Pantomimic,Pantomimic,Symbolic,Pantomimic
TC24243,Symbolic,Symbolic,Metaphoric,Symbolic,Pantomimic,Pantomimic,Symbolic,Symbolic
TC24244,Iconic,Iconic,Iconic,Iconic,Pantomimic,Pantomimic,Deictic,Metaphoric
TC24245,Iconic,Iconic,Symbolic,Iconic,Symbolic,Iconic,Deictic,Symbolic
TC24246,Iconic,Deictic,Iconic,Iconic,Metaphoric,Iconic,Deictic,Symbolic
TC24247,Iconic,Iconic,Symbolic,Symbolic,Metaphoric,Metaphoric,Symbolic,Pantomimic
TC24248,Iconic,Iconic,Iconic,Pantomimic,Iconic,Iconic,Symbolic,Deictic
TC24249,Iconic,Iconic,Symbolic,Symbolic,Pantomimic,Pantomimic,Symbolic,Symbolic
TC24250,Iconic,Iconic,Pantomimic,Symbolic,Pantomimic,Iconic,Symbolic,Symbolic
TC24251,Pantomimic,Pantomimic,Symbolic,Iconic,Symbolic,Symbolic,Pantomimic,Symbolic
TC24252,Iconic,Iconic,Symbolic,Symbolic,Iconic,Iconic,Deictic,Symbolic
TC24253,Iconic,Iconic,Iconic,Iconic,Iconic,Pantomimic,Deictic,Pantomimic
TC24254,Iconic,Pantomimic,Metaphoric,Metaphoric,Pantomimic,Pantomimic,Deictic,Pantomimic
