id_video,c1_nature,c2_nature,c3_nature,c4_nature,c5_nature,c6_nature,c7_nature,c8_nature
TC24201,Iconic,Iconic,Symbolic,Symbolic,Metaphoric,Metaphoric,Symbolic,Pantomimic
TC24202,Symbolic,Symbolic,Symbolic,Symbolic,Deictic,Deictic,Symbolic,Symbolic
TC24203,Symbolic,Symbolic,Iconic,Metaphoric,Iconic,Pantomimic,Symbolic,Metaphoric
TC24204,Iconic,Iconic,Iconic,Symbolic,Symbolic,Iconic,Symbolic,Symbolic
TC24205,Iconic,Iconic,Symbolic,Deictic,Metaphoric,Symbolic,Symbolic,Symbolic
TC24206,Deictic,Deictic,Symbolic,Symbolic,Iconic,Iconic,Symbolic,Symbolic
TC24207,Pantomimic,Iconic,Iconic,Iconic,Pantomimic,Pantomimic,Symbolic,Pantomimic
TC24208,Iconic,Iconic,Symbolic,Pantomimic,Metaphoric,Metaphoric,Symbolic,Symbolic
TC24209,Iconic,Iconic,Metaphoric,Pantomimic,Pantomimic,Iconic,Deictic,Symbolic
TC24210,Iconic,Iconic,Iconic,Iconic,Iconic,Symbolic,Deictic,Iconic
TC24211,Iconic,Symbolic,Symbolic,Symbolic,Metaphoric,Symbolic,Deictic,Symbolic
TC24212,Symbolic,Iconic,Deictic,Iconic,Deictic,Deictic,Deictic,Symbolic
TC24213,Iconic,Iconic,Symbolic,Symbolic,Symbolic,Symbolic,Deictic,Metaphoric
TC24214,Iconic,Iconic,Symbolic,Iconic,Iconic,Iconic,Symbolic,Pantomimic
TC24215,Pantomimic,Iconic,Pantomimic,Iconic,Deictic,Deictic,Symbolic,Iconic
TC24216,Symbolic,Iconic,Symbolic,Symbolic,Pantomimic,Metaphoric,Symbolic,Iconic
TC24217,Pantomimic,Iconic,Symbolic,Symbolic,Pantomimic,Pantomimic,Deictic,Pantomimic
TC24218,Deictic,Deictic,Deictic,Deictic,Deictic,Deictic,Symbolic,Deictic
TC24219,Symbolic,Symbolic,Metaphoric,Symbolic,Metaphoric,Symbolic,Symbolic,Iconic
TC24220,Iconic,Iconic,Symbolic,Metaphoric,Pantomimic,Pantomimic,Symbolic,Pantomimic
TC24221,Iconic,Iconic,Pantomimic,Pantomimic,Pantomimic,Pantomimic,Symbolic,Symbolic
TC24222,Deictic,Deictic,Iconic,Iconic,Iconic,Iconic,Deictic,Deictic
TC24223,Iconic,Iconic,Iconic,Symbolic,Pantomimic,Pantomimic,Symbolic,Symbolic
TC24224,Iconic,Iconic,Iconic,Iconic,Iconic,Iconic,Iconic,Pantomimic
TC24225,Iconic,Iconic,Pantomimic,Iconic,Pantomimic,Pantomimic,Deictic,Pantomimic
TC24226,Pantomimic,Pantomimic,Pantomimic,Pantomimic,Symbolic,Iconic,Pantomimic,Symbolic
TC24227,Symbolic,Iconic,Symbolic,Pantomimic,Metaphoric,Pantomimic,Symbolic,Iconic
TC24228,Iconic,Iconic,Symbolic,Iconic,Pantomimic,Pantomimic,Deictic,Pantomimic
TC24229,Iconic,Iconic,Symbolic,Iconic,Iconic,Iconic,Symbolic,Symbolic
