id_video,c1_nature,c2_nature,c3_nature,c4_nature,c5_nature,c6_nature,c7_nature,c8_nature
TC24201,Iconic,Iconic,Symbolic,Symbolic,Metaphoric,Iconic,Symbolic,Pantomimic
TC24202,Deictic,Deictic,Symbolic,Deictic,Deictic,Deictic,Symbolic,Pantomimic
TC24203,Symbolic,Symbolic,Iconic,Metaphoric,Iconic,Pantomimic,Symbolic,Metaphoric
TC24204,Iconic,Iconic,Iconic,Symbolic,Symbolic,Iconic,Symbolic,Metaphoric
TC24205,Iconic,Iconic,Symbolic,Deictic,Iconic,Symbolic,Symbolic,Symbolic
TC24206,Deictic,Deictic,Symbolic,Symbolic,Iconic,Iconic,Symbolic,Symbolic
TC24207,Pantomimic,Iconic,Iconic,Iconic,Pantomimic,Pantomimic,Symbolic,Pantomimic
TC24208,Iconic,Iconic,Symbolic,Metaphoric,Metaphoric,Pantomimic,Symbolic,Symbolic
TC24209,Iconic,Iconic,Symbolic,Metaphoric,Iconic,Iconic,Deictic,Metaphoric
TC24210,Iconic,Iconic,Iconic,Iconic,Iconic,Symbolic,Deictic,Iconic
TC24211,Iconic,Symbolic,Symbolic,Symbolic,Pantomimic,Symbolic,Deictic,Symbolic
TC24212,Symbolic,Iconic,Deictic,Deictic,Deictic,Deictic,Deictic,Symbolic
TC24213,Iconic,Iconic,Symbolic,Symbolic,Symbolic,Symbolic,Deictic,Symbolic
TC24214,Iconic,Iconic,Symbolic,Iconic,Iconic,Iconic,Symbolic,Pantomimic
TC24215,Iconic,Iconic,Iconic,Iconic,Iconic,Deictic,Symbolic,Iconic
TC24216,Symbolic,Iconic,Symbolic,Symbolic,Symbolic,Deictic,Symbolic,Iconic
TC24217,Pantomimic,Iconic,Symbolic,Symbolic,Symbolic,Symbolic,Deictic,Iconic
TC24218,Deictic,Deictic,Deictic,Deictic,Deictic,Deictic,Symbolic,Deictic
TC24219,Symbolic,Symbolic,Metaphoric,Deictic,Symbolic,Symbolic,Symbolic,Iconic
TC24220,Iconic,Iconic,Metaphoric,Metaphoric,Symbolic,Pantomimic,Symbolic,Pantomimic
TC24221,Iconic,Iconic,Pantomimic,Iconic,Pantomimic,Pantomimic,Symbolic,Symbolic
TC24222,Deictic,Deictic,Iconic,Iconic,Iconic,Iconic,Deictic,Deictic
TC24223,Iconic,Iconic,Iconic,Symbolic,Symbolic,Pantomimic,Symbolic,Iconic
TC24224,Iconic,Iconic,Iconic,Iconic,Iconic,Iconic,Deictic,Iconic
TC24225,Iconic,Iconic,Pantomimic,Iconic,Pantomimic,Pantomimic,Deictic,Pantomimic
TC24226,Pantomimic,Pantomimic,Pantomimic,Pantomimic,Symbolic,Iconic,Iconic,Symbolic
TC24227,Symbolic,Iconic,Symbolic,Metaphoric,Pantomimic,Metaphoric,Symbolic,Iconic
TC24228,Iconic,Iconic,Symbolic,Iconic,Pantomimic,Deictic,Deictic,Pantomimic
