id_video,c1_locale,c2_locale,c3_locale,c4_locale,c5_locale,c6_locale,c7_locale,c8_locale
TC24201,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,Eyes Interaction,No Self Interaction,No Self Interaction
TC24202,Mouth Interaction,Mouth Interaction,Mouth Interaction,Mouth Interaction,Eyes Interaction,Eyes Interaction,No Self Interaction,Other Self Interaction
TC24203,Ear Interaction,Ear Interaction,No Self Interaction,Mouth Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24204,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,Other Self Interaction
TC24205,No Self Interaction,No Self Interaction,Mouth Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24206,No Self Interaction,No Self Interaction,Mouth Interaction,Mouth Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24207,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24208,No Self Interaction,No Self Interaction,Mouth Interaction,Mouth Interaction,Other Self Interaction,Other Self Interaction,No Self Interaction,No Self Interaction
TC24209,No Self Interaction,No Self Interaction,No Self Interaction,Mouth Interaction,No Self Interaction,No Self Interaction,No Self Interaction,Other Self Interaction
TC24210,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24211,No Self Interaction,No Self Interaction,Mouth Interaction,Mouth Interaction,Other Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24212,Ear Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24213,No Self Interaction,No Self Interaction,No Self Interaction,Mouth Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24214,No Self Interaction,No Self Interaction,Mouth Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,Other Self Interaction
TC24215,No Self Interaction,No Self Interaction,No Self Interaction,Other Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24216,Ear Interaction,No Self Interaction,Ear Interaction,Ear Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24217,No Self Interaction,No Self Interaction,Mouth Interaction,Mouth Interaction,No Self Interaction,No Self Interaction,No Self Interaction,Ear Interaction
TC24218,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24219,Ear Interaction,Ear Interaction,Mouth Interaction,Mouth Interaction,Other Self Interaction,Other Self Interaction,No Self Interaction,No Self Interaction
TC24220,No Self Interaction,No Self Interaction,Mouth Interaction,Mouth Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24221,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24222,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24223,No Self Interaction,No Self Interaction,Mouth Interaction,Mouth Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24224,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24225,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
